scope,file_stem,event,emotion,intensity,spoken_es,popup_en,direction,priority,target_seconds
baseline,MISS_THROWING_KNIFE,MISS_THROWING_KNIFE,legacy,2,¡Carajo!,Damn!,Frustrated throwing miss.,1,1.5
baseline,RIPOSTE,RIPOSTE,legacy,2,¡Cállate!,Shut up!,Short hostile reply.,1,1.5
gap_fill,FIRE_GUN__angry,FIRE_GUN,angry,3,¡No los dejen respirar!,Keep them pinned!,"Aggressive suppressive fire; forceful, not berserk.",1,1.2
gap_fill,FIRE_GUN__angry 0,FIRE_GUN,angry,3,"¡Fuego, fuego!",Fire! Fire!,"Aggressive suppressive fire; forceful, not berserk.",1,1.2
gap_fill,FIRE_GUN__angry 1,FIRE_GUN,angry,3,¡Dales con todo!,Hit them hard!,"Aggressive suppressive fire; forceful, not berserk.",1,1.2
gap_fill,THROW_GRENADE__controlled,THROW_GRENADE,controlled,2,"¡Granada, fuera!",Grenade out!,Professional grenade warning.,1,1
gap_fill,THROW_GRENADE__controlled 0,THROW_GRENADE,controlled,2,¡Granada!,Grenade!,Professional grenade warning.,1,1
gap_fill,THROW_GRENADE__angry,THROW_GRENADE,angry,3,¡Tomen esto!,Take this!,Aggressive grenade throw.,2,1.2
gap_fill,THROW_GRENADE__angry 0,THROW_GRENADE,angry,3,"¡Granada, joder!",Grenade!,Aggressive grenade throw.,2,1.2
gap_fill,OUT_OF_AMMO__controlled,OUT_OF_AMMO,controlled,2,¡Sin munición!,Out of ammo!,Professional ammunition emergency.,1,1.4
gap_fill,OUT_OF_AMMO__controlled 0,OUT_OF_AMMO,controlled,2,¡Estoy seco!,I'm dry!,Professional ammunition emergency.,1,1.4
gap_fill,OUT_OF_AMMO__controlled 1,OUT_OF_AMMO,controlled,2,"¡Recarga, cúbranme!",Cover me while I reload!,Professional ammunition emergency.,1,1.4
gap_fill,OUT_OF_AMMO__distressed,OUT_OF_AMMO,distressed,3,"¡Estoy seco, cúbranme!","I'm dry, cover me!","Under pressure, worried but functional.",1,1.7
gap_fill,OUT_OF_AMMO__distressed 0,OUT_OF_AMMO,distressed,3,¡No tengo munición!,I'm out of ammo!,"Under pressure, worried but functional.",1,1.7
gap_fill,OUT_OF_AMMO__distressed 1,OUT_OF_AMMO,distressed,3,"¡Cúbranme, no me queda nada!","Cover me, I've got nothing left!","Under pressure, worried but functional.",1,1.7
gap_fill,RELOAD__controlled,RELOAD,controlled,2,¡Recargando!,Reloading!,Short professional reload calls.,1,1.4
gap_fill,RELOAD__controlled 0,RELOAD,controlled,2,"¡Cúbranme, recargo!","Cover me, reloading!",Short professional reload calls.,1,1.4
gap_fill,RELOAD__controlled 1,RELOAD,controlled,2,¡Cambio cargador!,Changing magazine!,Short professional reload calls.,1,1.4
gap_fill,RELOAD__distressed,RELOAD,distressed,3,"¡Cúbranme, recargo!","Cover me, reloading!",Reloading while under dangerous pressure.,2,1.5
gap_fill,RELOAD__distressed 0,RELOAD,distressed,3,"¡Un segundo, recargando!","One second, reloading!",Reloading while under dangerous pressure.,2,1.5
gap_fill,RUN_AWAY__controlled,RUN_AWAY,controlled,2,¡Retrocedan!,Fall back!,"Professional withdrawal, still in control.",1,1.5
gap_fill,RUN_AWAY__controlled 0,RUN_AWAY,controlled,2,"¡Atrás, reagrúpense!","Back, regroup!","Professional withdrawal, still in control.",1,1.5
gap_fill,RUN_AWAY__controlled 1,RUN_AWAY,controlled,2,¡Retirada ordenada!,Controlled withdrawal!,"Professional withdrawal, still in control.",1,1.5
gap_fill,RUN_AWAY__distressed,RUN_AWAY,distressed,3,¡Hay que salir de aquí!,We need to get out of here!,Fear rising; tactical meaning still clear.,1,1.8
gap_fill,RUN_AWAY__distressed 0,RUN_AWAY,distressed,3,"¡Atrás, rápido!","Back, quickly!",Fear rising; tactical meaning still clear.,1,1.8
gap_fill,RUN_AWAY__distressed 1,RUN_AWAY,distressed,3,"¡Nos están rodeando, retrocedan!","We're being surrounded, fall back!",Fear rising; tactical meaning still clear.,1,1.8
gap_fill,RUN_AWAY__panicked,RUN_AWAY,panicked,4,¡Nos van a matar!,They're going to kill us!,"Morale collapse; genuine panic, not comic.",1,1.8
gap_fill,RUN_AWAY__panicked 0,RUN_AWAY,panicked,4,¡Sáquenme de aquí!,Get me out of here!,"Morale collapse; genuine panic, not comic.",1,1.8
gap_fill,RUN_AWAY__panicked 1,RUN_AWAY,panicked,4,¡Corran!,Run!,"Morale collapse; genuine panic, not comic.",1,1.8
gap_fill,RUN_AWAY__panicked 2,RUN_AWAY,panicked,4,¡No podemos quedarnos aquí!,We can't stay here!,"Morale collapse; genuine panic, not comic.",1,1.8
gap_fill,ALERT__controlled,ALERT,controlled,2,¡Contacto!,Contact!,Immediate professional alert.,1,1.4
gap_fill,ALERT__controlled 0,ALERT,controlled,2,"¡Alerta, contacto al frente!","Alert, contact ahead!",Immediate professional alert.,1,1.4
gap_fill,ALERT__controlled 1,ALERT,controlled,2,"¡Atentos, enemigo!","Stay sharp, enemy!",Immediate professional alert.,1,1.4
gap_fill,ALERT__distressed,ALERT,distressed,3,"¡Movimiento, atentos!","Movement, stay sharp!",Threat feels close and dangerous.,2,1.5
gap_fill,ALERT__distressed 0,ALERT,distressed,3,¡Están cerca!,They're close!,Threat feels close and dangerous.,2,1.5
gap_fill,ALERT__distressed 1,ALERT,distressed,3,"¡Contacto, prepárense!","Contact, get ready!",Threat feels close and dangerous.,2,1.5
gap_fill,ALERT__panicked,ALERT,panicked,4,¡Están aquí!,They're here!,Sudden high-threat discovery.,2,1.4
gap_fill,ALERT__panicked 0,ALERT,panicked,4,¡Nos encontraron!,They found us!,Sudden high-threat discovery.,2,1.4
gap_fill,ALERT__panicked 1,ALERT,panicked,4,"¡Contacto, contacto!",Contact! Contact!,Sudden high-threat discovery.,2,1.4
gap_fill,SUSPICIOUS__controlled,SUSPICIOUS,controlled,1,¿Oyeron eso?,Did you hear that?,Quiet suspicion; do not shout.,2,1.7
gap_fill,SUSPICIOUS__controlled 0,SUSPICIOUS,controlled,1,Algo se movió.,Something moved.,Quiet suspicion; do not shout.,2,1.7
gap_fill,SUSPICIOUS__controlled 1,SUSPICIOUS,controlled,1,Esperen... escuché algo.,Wait... I heard something.,Quiet suspicion; do not shout.,2,1.7
gap_fill,NOTICED_UNSEEN__controlled,NOTICED_UNSEEN,controlled,2,"¡Contacto, no lo veo!","Contact, no visual!",Unseen contact; concise and trained.,1,1.5
gap_fill,NOTICED_UNSEEN__controlled 0,NOTICED_UNSEEN,controlled,2,"¡Disparos, sin visual!","Shots, no visual!",Unseen contact; concise and trained.,1,1.5
gap_fill,NOTICED_UNSEEN__controlled 1,NOTICED_UNSEEN,controlled,2,¡Enemigo oculto!,Hidden enemy!,Unseen contact; concise and trained.,1,1.5
gap_fill,NOTICED_UNSEEN__distressed,NOTICED_UNSEEN,distressed,3,¡Nos disparan desde algún lado!,We're taking fire from somewhere!,Unseen fire creating fear/confusion.,1,1.8
gap_fill,NOTICED_UNSEEN__distressed 0,NOTICED_UNSEEN,distressed,3,¡No veo al tirador!,I can't see the shooter!,Unseen fire creating fear/confusion.,1,1.8
gap_fill,NOTICED_UNSEEN__distressed 1,NOTICED_UNSEEN,distressed,3,"¡Cúbranse, no lo veo!","Take cover, I can't see him!",Unseen fire creating fear/confusion.,1,1.8
gap_fill,NOTICED_UNSEEN__panicked,NOTICED_UNSEEN,panicked,4,¡No sé de dónde viene!,I don't know where it's coming from!,Panicked unseen-fire response.,1,1.7
gap_fill,NOTICED_UNSEEN__panicked 0,NOTICED_UNSEEN,panicked,4,¡Nos están cazando!,They're hunting us!,Panicked unseen-fire response.,1,1.7
gap_fill,NOTICED_UNSEEN__panicked 1,NOTICED_UNSEEN,panicked,4,¡¿Dónde está?!,Where is he?!,Panicked unseen-fire response.,1,1.7
gap_fill,GOT_HIT_GUNFIRE__controlled,GOT_HIT_GUNFIRE,controlled,2,¡Me rozó!,It grazed me!,"Minor/moderate hit, controlled.",1,1.3
gap_fill,GOT_HIT_GUNFIRE__controlled 0,GOT_HIT_GUNFIRE,controlled,2,¡Estoy bien!,I'm okay!,"Minor/moderate hit, controlled.",1,1.3
gap_fill,GOT_HIT_GUNFIRE__controlled 1,GOT_HIT_GUNFIRE,controlled,2,"¡Me dieron, sigo!","I'm hit, still moving!","Minor/moderate hit, controlled.",1,1.3
gap_fill,GOT_HIT_GUNFIRE__angry,GOT_HIT_GUNFIRE,angry,3,"¡Hijo de puta, me dio!","Son of a bitch, he hit me!",Pain converted into anger; use profanity sparingly.,2,1.6
gap_fill,GOT_HIT_GUNFIRE__angry 0,GOT_HIT_GUNFIRE,angry,3,"¡Me dieron, carajo!","I'm hit, damn it!",Pain converted into anger; use profanity sparingly.,2,1.6
gap_fill,GOT_HIT_GUNFIRE__angry 1,GOT_HIT_GUNFIRE,angry,3,¡Vas a pagar por eso!,You'll pay for that!,Pain converted into anger; use profanity sparingly.,2,1.6
gap_fill,GOT_HIT_GUNFIRE__distressed,GOT_HIT_GUNFIRE,distressed,3,¡Me dieron!,I'm hit!,"Serious wound, frightened/strained.",1,1.5
gap_fill,GOT_HIT_GUNFIRE__distressed 0,GOT_HIT_GUNFIRE,distressed,3,¡Estoy herido!,I'm wounded!,"Serious wound, frightened/strained.",1,1.5
gap_fill,GOT_HIT_GUNFIRE__distressed 1,GOT_HIT_GUNFIRE,distressed,3,¡Necesito ayuda!,I need help!,"Serious wound, frightened/strained.",1,1.5
gap_fill,GOT_HIT_GUNFIRE__distressed 2,GOT_HIT_GUNFIRE,distressed,3,¡Me dieron fuerte!,I'm hit bad!,"Serious wound, frightened/strained.",1,1.5
gap_fill,GOT_HIT_GUNFIRE__panicked,GOT_HIT_GUNFIRE,panicked,4,"¡Ayúdame, por favor!",Please help me!,"Critical wound; desperate, believable, not melodramatic.",1,1.8
gap_fill,GOT_HIT_GUNFIRE__panicked 0,GOT_HIT_GUNFIRE,panicked,4,¡No quiero morir!,I don't want to die!,"Critical wound; desperate, believable, not melodramatic.",1,1.8
gap_fill,GOT_HIT_GUNFIRE__panicked 1,GOT_HIT_GUNFIRE,panicked,4,¡Médico!,Medic!,"Critical wound; desperate, believable, not melodramatic.",1,1.8
gap_fill,GOT_HIT_GUNFIRE__panicked 2,GOT_HIT_GUNFIRE,panicked,4,"¡Dios mío, me dieron!","Oh God, I'm hit!","Critical wound; desperate, believable, not melodramatic.",1,1.8
gap_fill,GOT_HIT_GUNFIRE__panicked 3,GOT_HIT_GUNFIRE,panicked,4,¡No me dejen aquí!,Don't leave me here!,"Critical wound; desperate, believable, not melodramatic.",1,1.8
gap_fill,GOT_HIT_BLOODLOSS__distressed,GOT_HIT_BLOODLOSS,distressed,3,Estoy sangrando mucho.,I'm bleeding badly.,Weak/strained; less volume than ordinary combat shouts.,1,2
gap_fill,GOT_HIT_BLOODLOSS__distressed 0,GOT_HIT_BLOODLOSS,distressed,3,¡Necesito un médico!,I need a medic!,Weak/strained; less volume than ordinary combat shouts.,1,2
gap_fill,GOT_HIT_BLOODLOSS__distressed 1,GOT_HIT_BLOODLOSS,distressed,3,¡No para de sangrar!,It won't stop bleeding!,Weak/strained; less volume than ordinary combat shouts.,1,2
gap_fill,GOT_HIT_BLOODLOSS__distressed 2,GOT_HIT_BLOODLOSS,distressed,3,Ayúdame... estoy perdiendo mucha sangre.,Help me... I'm losing a lot of blood.,Weak/strained; less volume than ordinary combat shouts.,1,2
gap_fill,GOT_HIT_BLOODLOSS__panicked,GOT_HIT_BLOODLOSS,panicked,4,¡Me estoy desangrando!,I'm bleeding out!,Severe blood loss; breathless desperation.,1,2
gap_fill,GOT_HIT_BLOODLOSS__panicked 0,GOT_HIT_BLOODLOSS,panicked,4,"¡Por favor, ayúdame!",Please help me!,Severe blood loss; breathless desperation.,1,2
gap_fill,GOT_HIT_BLOODLOSS__panicked 1,GOT_HIT_BLOODLOSS,panicked,4,¡No me dejen aquí!,Don't leave me here!,Severe blood loss; breathless desperation.,1,2
gap_fill,GOT_HIT_BLOODLOSS__panicked 2,GOT_HIT_BLOODLOSS,panicked,4,¡No quiero morir!,I don't want to die!,Severe blood loss; breathless desperation.,1,2
gap_fill,GOT_HIT_BLOODLOSS__panicked 3,GOT_HIT_BLOODLOSS,panicked,4,"¡Médico, por favor!","Medic, please!",Severe blood loss; breathless desperation.,1,2
gap_fill,GOT_HIT_EXPLOSION__controlled,GOT_HIT_EXPLOSION,controlled,2,¡Abajo!,Get down!,Blast shock but still functional.,1,1.4
gap_fill,GOT_HIT_EXPLOSION__controlled 0,GOT_HIT_EXPLOSION,controlled,2,"¡Estoy bien, sigan!","I'm okay, keep moving!",Blast shock but still functional.,1,1.4
gap_fill,GOT_HIT_EXPLOSION__controlled 1,GOT_HIT_EXPLOSION,controlled,2,¡Explosión!,Explosion!,Blast shock but still functional.,1,1.4
gap_fill,GOT_HIT_EXPLOSION__distressed,GOT_HIT_EXPLOSION,distressed,3,"¡Mierda, estoy herido!","Damn, I'm hurt!",Blast injury; shaken and hurt.,1,1.5
gap_fill,GOT_HIT_EXPLOSION__distressed 0,GOT_HIT_EXPLOSION,distressed,3,¡No puedo levantarme!,I can't get up!,Blast injury; shaken and hurt.,1,1.5
gap_fill,GOT_HIT_EXPLOSION__distressed 1,GOT_HIT_EXPLOSION,distressed,3,¡Ayuda!,Help!,Blast injury; shaken and hurt.,1,1.5
gap_fill,GOT_HIT_EXPLOSION__panicked,GOT_HIT_EXPLOSION,panicked,4,¡Dios mío!,Oh God!,Severe blast shock/panic; brief.,2,1.5
gap_fill,GOT_HIT_EXPLOSION__panicked 0,GOT_HIT_EXPLOSION,panicked,4,¡Ayúdenme!,Help me!,Severe blast shock/panic; brief.,2,1.5
gap_fill,GOT_HIT_EXPLOSION__panicked 1,GOT_HIT_EXPLOSION,panicked,4,¡No siento nada!,I can't feel anything!,Severe blast shock/panic; brief.,2,1.5
gap_fill,GOT_MISSED_GUNFIRE__controlled,GOT_MISSED_GUNFIRE,controlled,2,¡Cerca!,Close!,Near miss; startled but useful.,2,1.4
gap_fill,GOT_MISSED_GUNFIRE__controlled 0,GOT_MISSED_GUNFIRE,controlled,2,"¡Balas, cúbranse!","Incoming, take cover!",Near miss; startled but useful.,2,1.4
gap_fill,GOT_MISSED_GUNFIRE__controlled 1,GOT_MISSED_GUNFIRE,controlled,2,¡Me pasó al lado!,That went right past me!,Near miss; startled but useful.,2,1.4
gap_fill,GOT_MISSED_GUNFIRE__distressed,GOT_MISSED_GUNFIRE,distressed,3,¡Casi me da!,That almost hit me!,Repeated near misses/suppression.,2,1.5
gap_fill,GOT_MISSED_GUNFIRE__distressed 0,GOT_MISSED_GUNFIRE,distressed,3,¡Nos tienen marcados!,They've got us zeroed!,Repeated near misses/suppression.,2,1.5
gap_fill,GOT_MISSED_GUNFIRE__distressed 1,GOT_MISSED_GUNFIRE,distressed,3,¡Cúbranme!,Cover me!,Repeated near misses/suppression.,2,1.5
gap_fill,INFORM_ABOUT__controlled,INFORM_ABOUT,controlled,2,¡Se movió por ahí!,He moved over there!,Pass useful location information without invented direction.,1,1.5
gap_fill,INFORM_ABOUT__controlled 0,INFORM_ABOUT,controlled,2,¡Cambió de posición!,He changed position!,Pass useful location information without invented direction.,1,1.5
gap_fill,INFORM_ABOUT__controlled 1,INFORM_ABOUT,controlled,2,¡Lo vi moverse!,I saw him move!,Pass useful location information without invented direction.,1,1.5
gap_fill,SEEK_NOISE__controlled,SEEK_NOISE,controlled,1,Voy a revisar.,I'll check it.,"Cautious search, low/medium volume.",2,1.7
gap_fill,SEEK_NOISE__controlled 0,SEEK_NOISE,controlled,1,Reviso ese ruido.,Checking that noise.,"Cautious search, low/medium volume.",2,1.7
gap_fill,SEEK_NOISE__controlled 1,SEEK_NOISE,controlled,1,"Cúbranme, voy a mirar.","Cover me, I'll take a look.","Cautious search, low/medium volume.",2,1.7
gap_fill,KILL_GUNFIRE__controlled,KILL_GUNFIRE,controlled,2,¡Objetivo abatido!,Target down!,Brief confirmation; not celebratory.,2,1.2
gap_fill,KILL_GUNFIRE__controlled 0,KILL_GUNFIRE,controlled,2,¡Uno menos!,One down!,Brief confirmation; not celebratory.,2,1.2
gap_fill,KILL_GUNFIRE__controlled 1,KILL_GUNFIRE,controlled,2,¡Cayó!,He's down!,Brief confirmation; not celebratory.,2,1.2
gap_fill,KILL_GUNFIRE__angry,KILL_GUNFIRE,angry,3,¡Uno menos!,One down!,"Angry/vengeful variant, use sparingly.",3,1.4
gap_fill,KILL_GUNFIRE__angry 0,KILL_GUNFIRE,angry,3,¡Eso te pasa!,That's what you get!,"Angry/vengeful variant, use sparingly.",3,1.4
gap_fill,KILL_GUNFIRE__angry 1,KILL_GUNFIRE,angry,3,¡Cayó el cabrón!,Bastard's down!,"Angry/vengeful variant, use sparingly.",3,1.4
gap_fill,GOT_BLINDED__distressed,GOT_BLINDED,distressed,3,¡No veo!,I can't see!,Disoriented distress.,1,1.5
gap_fill,GOT_BLINDED__distressed 0,GOT_BLINDED,distressed,3,"¡Estoy ciego, ayúdenme!","I'm blind, help me!",Disoriented distress.,1,1.5
gap_fill,GOT_BLINDED__distressed 1,GOT_BLINDED,distressed,3,¡No puedo ver nada!,I can't see anything!,Disoriented distress.,1,1.5
gap_fill,GOT_BLINDED__panicked,GOT_BLINDED,panicked,4,¡No veo nada!,I can't see anything!,Temporary blindness + panic.,2,1.5
gap_fill,GOT_BLINDED__panicked 0,GOT_BLINDED,panicked,4,"¡Ayuda, no veo!","Help, I can't see!",Temporary blindness + panic.,2,1.5
gap_fill,GOT_BLINDED__panicked 1,GOT_BLINDED,panicked,4,¡¿Dónde están?!,Where are they?!,Temporary blindness + panic.,2,1.5
gap_fill,GOT_DEAFENED__distressed,GOT_DEAFENED,distressed,3,¡No oigo nada!,I can't hear anything!,Disoriented; raised voice.,2,1.5
gap_fill,GOT_DEAFENED__distressed 0,GOT_DEAFENED,distressed,3,¡No los escucho!,I can't hear you!,Disoriented; raised voice.,2,1.5
gap_fill,GOT_DEAFENED__distressed 1,GOT_DEAFENED,distressed,3,¡Me zumban los oídos!,My ears are ringing!,Disoriented; raised voice.,2,1.5
gap_fill,GOT_HIT_GAS__distressed,GOT_HIT_GAS,distressed,3,¡No puedo respirar!,I can't breathe!,"Choking; strained, never a clean full shout.",1,1.8
gap_fill,GOT_HIT_GAS__distressed 0,GOT_HIT_GAS,distressed,3,¡Aire... necesito aire!,Air... I need air!,"Choking; strained, never a clean full shout.",1,1.8
gap_fill,GOT_HIT_GAS__distressed 1,GOT_HIT_GAS,distressed,3,¡Salgan del gas!,Get out of the gas!,"Choking; strained, never a clean full shout.",1,1.8
gap_fill,GOT_HIT_GAS__panicked,GOT_HIT_GAS,panicked,4,¡Me ahogo!,I'm choking!,"Air hunger/panic, breath-broken.",1,1.7
gap_fill,GOT_HIT_GAS__panicked 0,GOT_HIT_GAS,panicked,4,¡No puedo respirar!,I can't breathe!,"Air hunger/panic, breath-broken.",1,1.7
gap_fill,GOT_HIT_GAS__panicked 1,GOT_HIT_GAS,panicked,4,¡Sáquenme de aquí!,Get me out of here!,"Air hunger/panic, breath-broken.",1,1.7
gap_fill,GOT_HIT_BLADE__distressed,GOT_HIT_BLADE,distressed,3,¡Me cortó!,He cut me!,Sharp pain; close-range fear.,2,1.5
gap_fill,GOT_HIT_BLADE__distressed 0,GOT_HIT_BLADE,distressed,3,¡Estoy sangrando!,I'm bleeding!,Sharp pain; close-range fear.,2,1.5
gap_fill,GOT_HIT_BLADE__distressed 1,GOT_HIT_BLADE,distressed,3,"¡Carajo, me abrió!","Damn, he cut me bad!",Sharp pain; close-range fear.,2,1.5
gap_fill,GOT_HIT_HTH__angry,GOT_HIT_HTH,angry,3,¡Hijo de puta!,Son of a bitch!,Angry response after a punch/strike.,3,1.4
gap_fill,GOT_HIT_HTH__angry 0,GOT_HIT_HTH,angry,3,¡Eso fue un error!,That was a mistake!,Angry response after a punch/strike.,3,1.4
gap_fill,GOT_HIT_HTH__angry 1,GOT_HIT_HTH,angry,3,¡Ahora vas a ver!,Now you'll see!,Angry response after a punch/strike.,3,1.4
